qa_reason,href,title,topicLv1Label,topicLv2Label,topicLv3Label,libraryKindLabel,review_status,review_note,suggest_topicLv3Label
missing-lv3-top-node,thu-vien/nghi-dinh-121-2018-nd-cp-quy-dinh-ve-thang-bang-luong.html,Nghị định 121/2018/NĐ-CP quy định về Thang bảng lương,Lao động - Bảo hiểm,Nghị định,,Văn bản,pass,ok,
missing-lv3-top-node,thu-vien/cach-ke-khai-thue-voi-thu-nhap-tu-tien-cho-thue-nha.html,Cách kê khai thuế với thu nhập từ tiền cho thuê nhà,Thuế - Hóa đơn,Hộ/Cá nhân kinh doanh,,Hướng dẫn,pass,ok,
missing-lv3-top-node,thu-vien/cach-tinh-thue-ho-kinh-doanh-theo-phuong-phap-ke-khai.html,Cách tính thuế hộ kinh doanh theo phương pháp kê khai,Thuế - Hóa đơn,Hộ/Cá nhân kinh doanh,,Hướng dẫn,pass,ok,
missing-lv3-top-node,thu-vien/bai-tap-dinh-khoan-ke-toan-co-ban-co-loi-giai.html,Bài tập định khoản kế toán có lời giải mới nhất 2026,Học liệu - Tham khảo,Bài tập - Thực hành,,Hướng dẫn,pass,ok,
missing-lv3-top-node,thu-vien/bai-tap-hach-toan-tien-luong-co-loi-giai.html,Bài tập kế toán tiền lương và các khoản trích theo lương có lời giải,Học liệu - Tham khảo,Bài tập - Thực hành,,Hướng dẫn,pass,ok,
missing-lv3-top-node,thu-vien/nghi-quyet-198-2025-qh15-chinh-sach-mien-giam-thue-tndn-tncn-mon-bai.html,"Nghị quyết 198/2025/QH15 chính sách miễn giảm thuế TNDN, TNCN, Môn Bài",Thuế - Hóa đơn,Nghị quyết - Quyết định,,Văn bản,pass,ok,
missing-lv3-top-node,thu-vien/nghi-quyet-204-2025-qh15-tiep-tuc-giam-thue-gtgt-8.html,Tiếp tục giảm thuế GTGT 8% từ ngày 01/7/2025 đến hết ngày 31/12/2026,Thuế - Hóa đơn,Nghị quyết - Quyết định,,Văn bản,pass,ok,
stratified-sample,thu-vien/bang-dang-ky-phuong-phap-trich-khau-hao-tai-san-co-dinh-theo-tt-45.html,Mẫu đăng ký phương pháp trích khấu hao TSCĐ 2026 mới nhất,Doanh nghiệp - Thủ tục,Mẫu biểu doanh nghiệp - thủ tục,Mẫu thủ tục khác,Biểu mẫu,pass,ok,Mẫu thủ tục khác
stratified-sample,thu-vien/bai-tap-ke-toan-tai-san-co-dinh-co-dap-an.html,Bài tập kế toán Tài sản cố định có lời giải,Học liệu - Tham khảo,Bài tập - Thực hành,,Hướng dẫn,pass,ok,
stratified-sample,thu-vien/bang-bang-cham-cong-mau-so-01a-ldtl.html,Mẫu bảng chấm công theo thông tư 200 và TT 133 mới nhất,Kế toán,Mẫu biểu kế toán,Mẫu lương/nhân sự,Biểu mẫu,pass,ok,Mẫu lương/nhân sự
stratified-sample,thu-vien/bang-thanh-toan-tien-luong-mau-so-02-ldtl.html,Mẫu Bảng thanh toán tiền lương theo Thông tư 133 và 200,Lao động - Bảo hiểm,Mẫu biểu lao động - bảo hiểm,Mẫu tiền lương/phụ cấp,Biểu mẫu,pass,ok,Mẫu tiền lương/phụ cấp
stratified-sample,thu-vien/giay-nop-tien-vao-ngan-sach-nha-nuoc-mau-c1-02-ns-theo-tt-119.html,"Mẫu giấy nộp tiền vào ngân sách nhà nước 2026 Excel, Word",Mẫu file & kê khai,Excel - Công cụ khác,Excel thuế/hóa đơn,Biểu mẫu,pass,ok,Excel thuế/hóa đơn
stratified-sample,thu-vien/cac-but-toan-ket-chuyen-cuoi-ky-ke-toan-tren-excel.html,"Cách hạch toán kết chuyển cuối kỳ (Lãi lỗ, Thuế)",Phần mềm - Công cụ,Excel - Công cụ khác,Excel/công cụ khác,Hướng dẫn,pass,ok,Excel/công cụ khác
stratified-sample,thu-vien/ban-hang-co-gia-tri-duoi-200-000-khong-phai-lap-hoa-don.html,Bán hàng có giá trị dưới 200.000 không phải lập hóa đơn,Thuế - Hóa đơn,GTGT - Hóa đơn,Lập/Xử lý hóa đơn,Hướng dẫn,pass,ok,Lập/Xử lý hóa đơn
stratified-sample,thu-vien/bang-ke-chi-tiet-ca-nhan-kinh-doanh-mau-01-1-bk-cnkd.html,Mẫu 01-1/BK-CNKD Bảng kê hộ kinh doanh theo Thông tư 40,Doanh nghiệp - Thủ tục,Mẫu biểu doanh nghiệp - thủ tục,Mẫu hộ/cá nhân kinh doanh,Biểu mẫu,pass,ok,Mẫu hộ/cá nhân kinh doanh
stratified-sample,thu-vien/bai-tap-ke-toan-thue-gia-tri-gia-tang-co-loi-giai.html,"Bài tập tính thuế GTGT theo pp khấu trừ, trực tiếp",Học liệu - Tham khảo,Bài tập - Thực hành,,Hướng dẫn,pass,ok,
stratified-sample,thu-vien/bang-cham-cong-lam-them-gio-mau-so-01b-ldtl.html,Mẫu bảng chấm công làm thêm giờ theo thông tư 200 và TT 133 mới nhất,Kế toán,Mẫu biểu kế toán,Mẫu lương/nhân sự,Biểu mẫu,pass,ok,Mẫu lương/nhân sự
stratified-sample,thu-vien/bhxh-bat-buoc-doi-voi-chu-ho-kinh-doanh.html,BHXH bắt buộc đối với chủ hộ kinh doanh từ ngày 01/7/2025,Lao động - Bảo hiểm,BHXH - BHYT - BHTN,Đối tượng/Mức đóng,Hướng dẫn,pass,ok,Đối tượng/Mức đóng
stratified-sample,thu-vien/mau-01b-hsb-theo-quyet-dinh-166-excel-moi-nhat.html,Mẫu 01B-HSB theo Quyết định 2222/QĐ-BHXH mới nhất 2025,Mẫu file & kê khai,Excel - Công cụ khác,Excel lương/BHXH/nhân sự,Biểu mẫu,pass,ok,Excel lương/BHXH/nhân sự
stratified-sample,thu-vien/cach-cai-dat-phan-mem-ke-toan-fast.html,Hướng dẫn cài đặt phần mềm kế toán Fast,Phần mềm - Công cụ,FAST,,Hướng dẫn,pass,ok,
stratified-sample,thu-vien/bang-ke-giam-tru-gia-canh-cho-nguoi-phu-thuoc-mau-2-1-bk-qtt-tncn.html,Bảng kê giảm trừ gia cảnh cho người phụ thuộc Mẫu 2-1/BK-QTT-TNCN,Thuế - Hóa đơn,Mẫu biểu thuế - hóa đơn,Mẫu thuế TNCN,Biểu mẫu,pass,ok,Mẫu thuế TNCN
stratified-sample,thu-vien/chuong-trinh-ho-tro-doanh-nghiep-vua-va-nho-cua-chinh-phu.html,Chính sách hỗ trợ Doanh nghiệp vừa và nhỏ của Chính phủ,Doanh nghiệp - Thủ tục,DN - Thủ tục,,Hướng dẫn,pass,ok,
stratified-sample,thu-vien/bai-tap-ke-toan-thue-tieu-thu-dac-biet-co-loi-giai.html,Bài tập kế toán thuế tiêu thụ đặc biệt có lời giải,Học liệu - Tham khảo,Bài tập - Thực hành,,Hướng dẫn,pass,ok,
stratified-sample,thu-vien/bang-ke-chi-tien-mau-so-09-tt.html,Mẫu Bảng kê chi tiền 09-TT theo Thông tư 133 và 200,Kế toán,Mẫu biểu kế toán,Mẫu chứng từ tiền/thanh toán,Biểu mẫu,pass,ok,Mẫu chứng từ tiền/thanh toán
stratified-sample,thu-vien/bhxh-bat-buoc-doi-voi-nld-lam-viec-khong-tron-thoi-gian.html,BHXH bắt buộc đối với NLĐ làm việc không trọn thời gian,Lao động - Bảo hiểm,BHXH - BHYT - BHTN,Đối tượng/Mức đóng,Hướng dẫn,pass,ok,Đối tượng/Mức đóng
stratified-sample,thu-vien/mau-03-nghi-dinh-119-excel-to-khai-du-lieu-hoa-don-ban-ra.html,Mẫu 03 Tờ khai dữ liệu hóa đơn bán ra theo NĐ 119,Mẫu file & kê khai,Excel - Công cụ khác,Excel thuế/hóa đơn,Biểu mẫu,pass,ok,Excel thuế/hóa đơn
stratified-sample,thu-vien/cach-danh-gia-lai-tscd-tren-misa.html,Cách đánh giá lại TSCĐ trên Misa,Phần mềm - Công cụ,MISA,MISA tài sản cố định/CCDC,Hướng dẫn,pass,ok,MISA tài sản cố định/CCDC
stratified-sample,thu-vien/bang-ke-hang-hoa-dich-vu-ban-ra-01-1-gtgt-theo-tt-119.html,"Bảng kê hàng hóa, dịch vụ bán ra 01-1/GTGT theo TT 119",Thuế - Hóa đơn,Mẫu biểu thuế - hóa đơn,Mẫu thuế GTGT/Hóa đơn,Biểu mẫu,pass,ok,Mẫu thuế GTGT/Hóa đơn
stratified-sample,thu-vien/dang-ky-thanh-lap-chi-nhanh-vpdd-dia-diem-kinh-doanh.html,"Đăng ký thành lập chi nhánh, văn phòng đại diện, địa điểm kinh doanh",Doanh nghiệp - Thủ tục,DN - Thủ tục,,Hướng dẫn,pass,ok,
stratified-sample,thu-vien/bai-tap-ke-toan-thue-xuat-nhap-khau-co-loi-giai.html,Bài tập kế toán thuế xuất nhập khẩu có lời giải,Học liệu - Tham khảo,Bài tập - Thực hành,,Hướng dẫn,pass,ok,
stratified-sample,thu-vien/bang-ke-mua-hang-mau-so-06-vt.html,Mẫu Bảng kê mua hàng 06-VT theo Thông tư 133 và 200,Kế toán,Mẫu biểu kế toán,Mẫu chứng từ mua bán/hợp đồng,Biểu mẫu,pass,ok,Mẫu chứng từ mua bán/hợp đồng
stratified-sample,thu-vien/bhxh-doi-voi-nguoi-lao-dong-lam-viec-2-noi-hoac-nhieu-noi.html,BHXH đối với người lao động làm việc 2 nơi hoặc nhiều nơi năm 2026,Lao động - Bảo hiểm,BHXH - BHYT - BHTN,Đối tượng/Mức đóng,Hướng dẫn,pass,ok,Đối tượng/Mức đóng
stratified-sample,thu-vien/mau-ban-thuyet-minh-bao-cao-tai-chinh-excel-theo-qd-48.html,Mẫu Thuyết minh Báo cáo tài chính Excel theo TT 200 và 133,Mẫu file & kê khai,Excel - Công cụ khác,Excel BCTC/sổ sách kế toán,Biểu mẫu,pass,ok,Excel BCTC/sổ sách kế toán
stratified-sample,thu-vien/cach-doi-so-thanh-chu-trong-excel-2003-2007-2010-2013.html,"Cách chuyển số thành chữ trong Excel 2010, 2013, 2016, 2019",Phần mềm - Công cụ,Excel - Công cụ khác,Excel/công cụ khác,Hướng dẫn,pass,ok,Excel/công cụ khác
stratified-sample,thu-vien/bang-ke-hang-hoa-dich-vu-ban-ra-04-1-gtgt-theo-tt-119.html,"Bảng kê hàng hóa, dịch vụ bán ra 04-1/GTGT theo TT 119",Thuế - Hóa đơn,Mẫu biểu thuế - hóa đơn,Mẫu thuế GTGT/Hóa đơn,Biểu mẫu,pass,ok,Mẫu thuế GTGT/Hóa đơn
stratified-sample,thu-vien/danh-sach-chu-so-huu-huong-loi-cua-doanh-nghiep.html,Danh sách chủ sở hữu hưởng lợi của doanh nghiệp,Doanh nghiệp - Thủ tục,DN - Thủ tục,,Biểu mẫu,pass,ok,
stratified-sample,thu-vien/bai-tap-tinh-gia-thanh-san-pham-hoan-thanh-co-loi-giai.html,Bài tập định khoản giá thành sản phẩm có lời giải,Học liệu - Tham khảo,Bài tập - Thực hành,,Hướng dẫn,pass,ok,
